l_orderkey | l_partkey | l_suppkey | l_linenumber | l_quantity | l_extendedprice | l_discount | l_tax | l_returnflag | l_linestatus | l_shipdate | l_commitdate | l_receiptdate | l_shipinstruct | l_shipmode | l_comment
88199 | 181222 | 6259 | 2 | 31 | 40399.82 | 0.04 | 0.07 | A | F | 1992-01-03 | 1992-02-10 | 1992-01-31 | DELIVER IN PERSON | AIR | ideas thrash blithely. slyly special ideas
27137 | 167269 | 2302 | 3 | 24 | 32070.24 | 0.06 | 0.03 | R | F | 1992-01-04 | 1992-02-18 | 1992-01-22 | DELIVER IN PERSON | RAIL | s above th
27137 | 58942 | 3953 | 5 | 37 | 70334.78 | 0.03 | 0.03 | A | F | 1992-01-06 | 1992-02-24 | 1992-01-13 | DELIVER IN PERSON | MAIL | lthy packages might
47591 | 67568 | 2581 | 1 | 38 | 58351.28 | 0.05 | 0.04 | A | F | 1992-01-06 | 1992-03-19 | 1992-01-11 | COLLECT COD | REG AIR | ily above the carefully regular asy
63906 | 107932 | 443 | 5 | 42 | 81477.06 | 0.00 | 0.08 | R | F | 1992-01-06 | 1992-03-05 | 1992-01-14 | TAKE BACK RETURN | TRUCK | ly express pac
80069 | 80368 | 369 | 5 | 8 | 10786.88 | 0.01 | 0.04 | R | F | 1992-01-06 | 1992-03-09 | 1992-01-08 | DELIVER IN PERSON | MAIL | ns haggle blithely final pack
77634 | 36280 | 6281 | 4 | 30 | 36488.4 | 0.02 | 0.06 | A | F | 1992-01-07 | 1992-02-04 | 1992-01-22 | NONE | RAIL | y bold platelets
88199 | 74241 | 1763 | 6 | 23 | 27950.52 | 0.00 | 0.03 | R | F | 1992-01-07 | 1992-03-22 | 1992-02-02 | COLLECT COD | MAIL | ncies wake slyly against the slyl
5601 | 72205 | 2206 | 3 | 38 | 44733.6 | 0.07 | 0.00 | A | F | 1992-01-08 | 1992-03-01 | 1992-01-09 | TAKE BACK RETURN | REG AIR | ter the evenly final deposit
9379 | 55596 | 5597 | 4 | 13 | 20170.67 | 0.00 | 0.01 | A | F | 1992-01-09 | 1992-03-20 | 1992-01-12 | COLLECT COD | TRUCK | . blithely unusual deposits boost reque
53988 | 141058 | 8601 | 2 | 13 | 14287.65 | 0.08 | 0.05 | A | F | 1992-01-09 | 1992-02-15 | 1992-01-25 | COLLECT COD | RAIL | furiously ironic,
81154 | 82077 | 7094 | 2 | 17 | 18004.19 | 0.04 | 0.03 | A | F | 1992-01-10 | 1992-03-12 | 1992-01-21 | NONE | SHIP | ckages nod fluffily requests.
31555 | 179908 | 9909 | 2 | 18 | 35782.2 | 0.01 | 0.02 | A | F | 1992-01-11 | 1992-03-30 | 1992-01-26 | DELIVER IN PERSON | AIR | g the fluffily even pinto bean
35811 | 131451 | 8991 | 4 | 45 | 66710.25 | 0.06 | 0.01 | A | F | 1992-01-11 | 1992-02-20 | 1992-02-06 | COLLECT COD | TRUCK | ts wake furiously after the regular, final
57698 | 77344 | 2359 | 5 | 44 | 58138.96 | 0.06 | 0.05 | R | F | 1992-01-11 | 1992-03-30 | 1992-02-10 | COLLECT COD | AIR | ests cajole bli
59456 | 75149 | 7657 | 3 | 23 | 25855.22 | 0.08 | 0.02 | R | F | 1992-01-11 | 1992-03-24 | 1992-01-27 | TAKE BACK RETURN | TRUCK | c packages are quickly carefull
10053 | 7672 | 5173 | 1 | 15 | 23695.05 | 0.08 | 0.00 | R | F | 1992-01-12 | 1992-03-08 | 1992-02-08 | TAKE BACK RETURN | TRUCK | ously unusual requests wake against t
23010 | 128511 | 6048 | 2 | 9 | 13855.59 | 0.09 | 0.08 | A | F | 1992-01-12 | 1992-02-17 | 1992-01-22 | NONE | TRUCK | ly. special, speci
52516 | 107402 | 7403 | 4 | 9 | 12684.6 | 0.03 | 0.05 | A | F | 1992-01-12 | 1992-03-28 | 1992-01-26 | DELIVER IN PERSON | MAIL | sleep busily. blithely sly acco
62051 | 20891 | 892 | 3 | 29 | 52544.81 | 0.02 | 0.00 | A | F | 1992-01-12 | 1992-02-21 | 1992-01-31 | TAKE BACK RETURN | SHIP | s. furiously sly deposits c
76803 | 105093 | 2624 | 2 | 25 | 27452.25 | 0.00 | 0.02 | R | F | 1992-01-12 | 1992-02-20 | 1992-01-28 | NONE | AIR | y final packages. un
91941 | 21253 | 6258 | 5 | 4 | 4697 | 0.07 | 0.04 | A | F | 1992-01-12 | 1992-03-23 | 1992-02-07 | NONE | REG AIR | n deposits. final packages are
5409 | 140347 | 7890 | 3 | 17 | 23584.78 | 0.07 | 0.00 | A | F | 1992-01-13 | 1992-04-05 | 1992-01-20 | DELIVER IN PERSON | AIR | cross the sil
7107 | 42332 | 7341 | 1 | 25 | 31858.25 | 0.04 | 0.03 | A | F | 1992-01-13 | 1992-02-20 | 1992-01-25 | COLLECT COD | RAIL |  the regular, final pint
14726 | 92071 | 2072 | 3 | 30 | 31892.1 | 0.08 | 0.05 | R | F | 1992-01-13 | 1992-02-11 | 1992-01-28 | DELIVER IN PERSON | TRUCK | s cajole above the busily 
16164 | 63032 | 5539 | 3 | 39 | 38806.17 | 0.07 | 0.08 | R | F | 1992-01-13 | 1992-03-29 | 1992-01-24 | TAKE BACK RETURN | RAIL | ves. ironic, ironic id
43494 | 55594 | 8100 | 2 | 27 | 41838.93 | 0.07 | 0.06 | A | F | 1992-01-13 | 1992-02-05 | 1992-02-04 | NONE | AIR | hely. even packages nag sl
51424 | 81386 | 8911 | 3 | 27 | 36919.26 | 0.10 | 0.05 | A | F | 1992-01-13 | 1992-03-09 | 1992-01-27 | DELIVER IN PERSON | FOB | iously against the blithely
69632 | 31132 | 1133 | 3 | 46 | 48903.98 | 0.05 | 0.08 | A | F | 1992-01-13 | 1992-04-03 | 1992-01-30 | TAKE BACK RETURN | SHIP | avely regular dolphins. silen
75840 | 114281 | 6793 | 4 | 37 | 47925.36 | 0.02 | 0.05 | R | F | 1992-01-13 | 1992-03-07 | 1992-02-10 | COLLECT COD | SHIP | packages play slyly. blithely even deposit
4800 | 52240 | 2241 | 5 | 24 | 28613.76 | 0.08 | 0.04 | R | F | 1992-01-14 | 1992-02-23 | 1992-01-25 | NONE | TRUCK | ully carefully r
10053 | 140152 | 7695 | 4 | 24 | 28611.6 | 0.07 | 0.06 | R | F | 1992-01-14 | 1992-03-05 | 1992-01-18 | TAKE BACK RETURN | TRUCK | es. even warthogs are sly
38147 | 100089 | 5110 | 2 | 50 | 54454 | 0.08 | 0.02 | R | F | 1992-01-14 | 1992-04-07 | 1992-01-29 | TAKE BACK RETURN | REG AIR | al accounts boost b
43494 | 172265 | 4783 | 5 | 6 | 8023.56 | 0.02 | 0.04 | A | F | 1992-01-14 | 1992-04-03 | 1992-02-12 | COLLECT COD | REG AIR | ly unusual foxes
3712 | 147022 | 4565 | 4 | 38 | 40622.76 | 0.01 | 0.06 | A | F | 1992-01-15 | 1992-03-24 | 1992-01-27 | COLLECT COD | RAIL | s nag carefully-- even, reg
13444 | 39643 | 7153 | 4 | 5 | 7913.2 | 0.04 | 0.07 | A | F | 1992-01-15 | 1992-04-01 | 1992-01-17 | NONE | REG AIR | quests. fluffily final packages 
53474 | 70934 | 8456 | 2 | 34 | 64767.62 | 0.00 | 0.08 | A | F | 1992-01-15 | 1992-03-08 | 1992-02-04 | TAKE BACK RETURN | FOB | quickly slyly unusual packa
54115 | 158652 | 8653 | 5 | 28 | 47898.2 | 0.02 | 0.06 | A | F | 1992-01-15 | 1992-04-05 | 1992-01-22 | TAKE BACK RETURN | AIR | y enticing theod
63303 | 152687 | 2688 | 4 | 37 | 64368.16 | 0.00 | 0.05 | R | F | 1992-01-15 | 1992-02-28 | 1992-02-09 | DELIVER IN PERSON | RAIL | olphins use slyly special theodolit
78276 | 20865 | 5870 | 6 | 1 | 1785.86 | 0.07 | 0.04 | A | F | 1992-01-15 | 1992-04-01 | 1992-01-22 | COLLECT COD | REG AIR | o beans are slyly furiously regular packag
3271 | 56433 | 3949 | 1 | 30 | 41682.9 | 0.01 | 0.04 | A | F | 1992-01-16 | 1992-03-20 | 1992-01-17 | DELIVER IN PERSON | AIR | r the unusual Tiresia
